14646322,14577906
14646621,14534561
14653229,13765637
14669638,14398001
14674283,8783895
14678590,14010257
14687403,7724470
14690662,14628119
14691207,14662591
14695527,14689670
14700007,10476514
14703603,14700242
14713128,14623856
14717708,14662591
14725779,5166957
14735817,966352
14751235,9897304
14751307,8225928
14751404,14140051
14751530,9275610
14754002,14534958
14756337,5462011
14756736,14320607
14780074,10417231
14780242,5303258
14782686,14569936
14783466,14146750
14785040,12613978
14800855,13502582
14802938,5744056
14821430,11810369
14835158,11543516
14843300,12994997
14845868,11959010
14848218,14760009
14861515,14849449
14864705,14653012
14867569,13542460
14867862,13929796
14868004,9660875
